 pres temp vfr mfr    comp
 +030.38 +025.05 +0.3357 +0.6939    Air
 +030.38 +025.05 +0.3356 +0.6937    Air
 +030.38 +025.05 +0.3356 +0.6938    Air
 +030.38 +025.05 +0.3353 +0.6931    Air
 +030.39 +025.05 +0.3305 +0.6834    Air
 +030.40 +025.05 +0.3265 +0.6754    Air
 +030.40 +025.05 +0.3323 +0.6873    Air
 +030.38 +025.05 +0.3418 +0.7067    Air
 +030.38 +025.05 +0.3443 +0.7116    Air
 +030.38 +025.05 +0.3375 +0.6976    Air
 +030.38 +025.05 +0.3447 +0.7124    Air
 +030.37 +025.05 +0.3512 +0.7257    Air
 +030.35 +025.05 +0.3607 +0.7449    Air
 +030.34 +025.05 +0.3662 +0.7562    Air
 +030.33 +025.05 +0.3692 +0.7621    Air
 +030.33 +025.05 +0.3721 +0.7677    Air
 +030.32 +025.05 +0.3746 +0.7727    Air
 +030.31 +025.05 +0.3779 +0.7794    Air
 +030.31 +025.05 +0.3814 +0.7865    Air
 +030.30 +025.05 +0.3834 +0.7905    Air
 +030.30 +025.05 +0.3845 +0.7928    Air
 +030.30 +025.05 +0.3846 +0.7929    Air
 +030.30 +025.05 +0.3843 +0.7924    Air
 +030.30 +025.05 +0.3845 +0.7925    Air
 +030.30 +025.05 +0.3846 +0.7930    Air
 +030.30 +025.05 +0.3846 +0.7931    Air
 +030.30 +025.05 +0.3847 +0.7932    Air
 +030.30 +025.05 +0.3847 +0.7933    Air
 +030.30 +025.05 +0.3848 +0.7935    Air
 +030.30 +025.05 +0.3855 +0.7950    Air
 +030.30 +025.05 +0.3866 +0.7970    Air
 +030.30 +025.05 +0.3877 +0.7993    Air
 +030.30 +025.05 +0.3891 +0.8022    Air
 +030.30 +025.05 +0.3929 +0.8102    Air
 +030.29 +025.05 +0.3971 +0.8184    Air
 +030.28 +025.05 +0.4005 +0.8253    Air
 +030.28 +025.05 +0.4031 +0.8305    Air
 +030.27 +025.05 +0.4058 +0.8360    Air
 +030.27 +025.05 +0.4072 +0.8386    Air
 +030.27 +025.05 +0.4078 +0.8399    Air
 +030.27 +025.05 +0.4097 +0.8438    Air
 +030.26 +025.05 +0.4116 +0.8475    Air
 +030.26 +025.05 +0.4129 +0.8502    Air
 +030.26 +025.05 +0.4137 +0.8519    Air
 +030.26 +025.05 +0.4143 +0.8529    Air
 +030.26 +025.05 +0.4146 +0.8536    Air
 +030.26 +025.05 +0.4146 +0.8537    Air
 +030.26 +025.05 +0.4148 +0.8539    Air
 +030.26 +025.05 +0.4148 +0.8540    Air
 +030.26 +025.05 +0.4148 +0.8542    Air
 +030.26 +025.05 +0.4154 +0.8553    Air
 +030.26 +025.05 +0.4164 +0.8572    Air
 +030.26 +025.05 +0.4179 +0.8603    Air
 +030.25 +025.05 +0.4197 +0.8641    Air
 +030.25 +025.05 +0.4219 +0.8685    Air
 +030.25 +025.05 +0.4258 +0.8763    Air
 +030.24 +025.05 +0.4287 +0.8822    Air
 +030.24 +025.05 +0.4305 +0.8857    Air
