time_ms , sensor , currpos , mflow
54910 , b , -4000 , 2.165999
54960 , b , -4000 , 2.172666
55010 , b , -4000 , 2.187999
55060 , b , -4000 , 2.183999
55110 , b , -4000 , 2.141333
55160 , b , -4000 , 2.154666
55210 , b , -4000 , 2.181999
55260 , b , -4000 , 2.164666
55310 , b , -4000 , 2.177999
55360 , b , -4000 , 2.146000
55410 , b , -4000 , 2.158666
55460 , b , -4000 , 2.154000
55510 , b , -4000 , 2.169999
55560 , b , -4000 , 2.191999
55610 , b , -4000 , 2.165999
55660 , b , -4000 , 2.152666
55710 , b , -4000 , 2.169333
55760 , b , -4000 , 2.169999
55810 , b , -4000 , 2.155333
55860 , b , -4000 , 2.179332
55910 , b , -4000 , 2.163333
55960 , b , -4000 , 2.190665
56010 , b , -4000 , 2.181999
56060 , b , -4000 , 2.155333
56110 , b , -4000 , 2.195332
56160 , b , -4000 , 2.169999
56210 , b , -4000 , 2.155333
56260 , b , -4000 , 2.171333
56310 , b , -4000 , 2.167999
57039 , b , -4400 , 2.563999
57089 , b , -4400 , 2.551333
57139 , b , -4400 , 2.534666
57189 , b , -4400 , 2.567999
57239 , b , -4400 , 2.564000
57289 , b , -4400 , 2.560666
57339 , b , -4400 , 2.543999
57389 , b , -4400 , 2.552666
57439 , b , -4400 , 2.564666
57489 , b , -4400 , 2.546666
57539 , b , -4400 , 2.537999
57589 , b , -4400 , 2.559999
57639 , b , -4400 , 2.538666
57689 , b , -4400 , 2.558666
57739 , b , -4400 , 2.565333
57789 , b , -4400 , 2.569333
57839 , b , -4400 , 2.570666
57889 , b , -4400 , 2.574666
57939 , b , -4400 , 2.561999
57989 , b , -4400 , 2.536666
58039 , b , -4400 , 2.537333
58089 , b , -4400 , 2.561333
58139 , b , -4400 , 2.539333
58189 , b , -4400 , 2.549999
58239 , b , -4400 , 2.569333
58289 , b , -4400 , 2.539999
58339 , b , -4400 , 2.532666
58389 , b , -4400 , 2.552666
58439 , b , -4400 , 2.546000
58489 , b , -4400 , 2.556666
58539 , b , -4400 , 2.573333
58589 , b , -4400 , 2.555999
58639 , b , -4400 , 2.568666
58689 , b , -4400 , 2.547999
58739 , b , -4400 , 2.563333
58789 , b , -4400 , 2.549999
58839 , b , -4400 , 2.554666
58889 , b , -4400 , 2.527333
58939 , b , -4400 , 2.541333
58989 , b , -4400 , 2.585333
59039 , b , -4400 , 2.585332
59768 , b , -4800 , 3.146000
59818 , b , -4800 , 3.160667
59868 , b , -4800 , 3.162666
59918 , b , -4800 , 3.137333
59968 , b , -4800 , 3.172000
60018 , b , -4800 , 3.158667
60068 , b , -4800 , 3.170666
60118 , b , -4800 , 3.138000
60168 , b , -4800 , 3.168000
60218 , b , -4800 , 3.152000
60268 , b , -4800 , 3.180000
60318 , b , -4800 , 3.197333
60368 , b , -4800 , 3.191332
60418 , b , -4800 , 3.189332
60468 , b , -4800 , 3.195332
60518 , b , -4800 , 3.197999
60568 , b , -4800 , 3.170667
60618 , b , -4800 , 3.167333
60668 , b , -4800 , 3.189332
60718 , b , -4800 , 3.185332
60768 , b , -4800 , 3.189333
60818 , b , -4800 , 3.196666
60868 , b , -4800 , 3.182000
60918 , b , -4800 , 3.171999
60968 , b , -4800 , 3.178667
61018 , b , -4800 , 3.152666
61068 , b , -4800 , 3.158666
61118 , b , -4800 , 3.182666
61168 , b , -4800 , 3.183332
61218 , b , -4800 , 3.151334
61268 , b , -4800 , 3.134667
61318 , b , -4800 , 3.171999
61368 , b , -4800 , 3.127332
61418 , b , -4800 , 3.161333
61468 , b , -4800 , 3.181332
61518 , b , -4800 , 3.226666
61568 , b , -4800 , 3.169999
61618 , b , -4800 , 3.145333
61668 , b , -4800 , 3.131333
61718 , b , -4800 , 3.181998
61768 , b , -4800 , 3.148000
62497 , b , -5200 , 3.352000
62547 , b , -5200 , 3.361334
62597 , b , -5200 , 3.366001
62647 , b , -5200 , 3.345334
62697 , b , -5200 , 3.356668
62747 , b , -5200 , 3.372000
62797 , b , -5200 , 3.395332
62847 , b , -5200 , 3.368666
62897 , b , -5200 , 3.408000
62947 , b , -5200 , 3.374666
62997 , b , -5200 , 3.368668
63047 , b , -5200 , 3.374000
63097 , b , -5200 , 3.343333
63147 , b , -5200 , 3.365333
63197 , b , -5200 , 3.360001
63247 , b , -5200 , 3.378666
63297 , b , -5200 , 3.388000
63347 , b , -5200 , 3.371999
63397 , b , -5200 , 3.378667
63447 , b , -5200 , 3.373333
63497 , b , -5200 , 3.354001
63547 , b , -5200 , 3.390666
63597 , b , -5200 , 3.370666
63647 , b , -5200 , 3.348001
63697 , b , -5200 , 3.404000
63747 , b , -5200 , 3.368667
63797 , b , -5200 , 3.346000
63847 , b , -5200 , 3.333334
63897 , b , -5200 , 3.324668
63947 , b , -5200 , 3.336001
63997 , b , -5200 , 3.350666
64047 , b , -5200 , 3.330000
64097 , b , -5200 , 3.366667
64147 , b , -5200 , 3.391333
64197 , b , -5200 , 3.391333
64247 , b , -5200 , 3.358666
64297 , b , -5200 , 3.387333
64347 , b , -5200 , 3.364000
64397 , b , -5200 , 3.359334
64447 , b , -5200 , 3.357333
64497 , b , -5200 , 3.383999
65226 , b , -5600 , 3.784668
65276 , b , -5600 , 3.770000
65326 , b , -5600 , 3.738666
65376 , b , -5600 , 3.708665
65426 , b , -5600 , 3.706666
65476 , b , -5600 , 3.746666
65526 , b , -5600 , 3.776667
65576 , b , -5600 , 3.767334
65626 , b , -5600 , 3.731333
65676 , b , -5600 , 3.728000
65726 , b , -5600 , 3.708665
65776 , b , -5600 , 3.733332
65826 , b , -5600 , 3.750000
65876 , b , -5600 , 3.732666
65926 , b , -5600 , 3.769333
65976 , b , -5600 , 3.734666
66026 , b , -5600 , 3.774667
66076 , b , -5600 , 3.736000
66126 , b , -5600 , 3.740665
66176 , b , -5600 , 3.730666
66226 , b , -5600 , 3.748666
66276 , b , -5600 , 3.753334
66326 , b , -5600 , 3.736000
66376 , b , -5600 , 3.715333
66426 , b , -5600 , 3.775334
66476 , b , -5600 , 3.748001
66526 , b , -5600 , 3.771335
66576 , b , -5600 , 3.798668
66626 , b , -5600 , 3.787334
66676 , b , -5600 , 3.760000
66726 , b , -5600 , 3.764666
66776 , b , -5600 , 3.756001
66826 , b , -5600 , 3.718000
66876 , b , -5600 , 3.762668
66926 , b , -5600 , 3.733333
66976 , b , -5600 , 3.752000
67026 , b , -5600 , 3.770000
67076 , b , -5600 , 3.753333
67126 , b , -5600 , 3.779335
67176 , b , -5600 , 3.776001
67226 , b , -5600 , 3.761334
67955 , b , -6000 , 4.154000
68005 , b , -6000 , 4.128000
68055 , b , -6000 , 4.102667
68105 , b , -6000 , 4.136667
68155 , b , -6000 , 4.123333
68205 , b , -6000 , 4.136667
68255 , b , -6000 , 4.130667
68305 , b , -6000 , 4.169333
68355 , b , -6000 , 4.133332
68405 , b , -6000 , 4.160000
68455 , b , -6000 , 4.132666
68505 , b , -6000 , 4.116000
68555 , b , -6000 , 4.118000
68605 , b , -6000 , 4.108667
68655 , b , -6000 , 4.133999
68705 , b , -6000 , 4.141333
68755 , b , -6000 , 4.159333
68805 , b , -6000 , 4.130666
68855 , b , -6000 , 4.105334
68905 , b , -6000 , 4.153333
68955 , b , -6000 , 4.138000
69005 , b , -6000 , 4.141333
69055 , b , -6000 , 4.183999
69105 , b , -6000 , 4.180001
69155 , b , -6000 , 4.160001
69205 , b , -6000 , 4.146666
69255 , b , -6000 , 4.151334
69305 , b , -6000 , 4.137334
69355 , b , -6000 , 4.130000
69405 , b , -6000 , 4.179999
69455 , b , -6000 , 4.144000
69505 , b , -6000 , 4.114666
69555 , b , -6000 , 4.135333
69605 , b , -6000 , 4.135332
69655 , b , -6000 , 4.128000
69705 , b , -6000 , 4.156000
69755 , b , -6000 , 4.123333
69805 , b , -6000 , 4.174000
69855 , b , -6000 , 4.106000
69905 , b , -6000 , 4.150000
69955 , b , -6000 , 4.116000
70684 , b , -6400 , 4.504668
70734 , b , -6400 , 4.461332
70784 , b , -6400 , 4.502001
