1281696
1281696
Sensor initialized!
data_begin
time_ms , raw_val , point_flow , avg_flow
10643 , 244 , 37.83 , 31.12
10673 , 244 , 37.53 , 31.20
10703 , 244 , 37.97 , 31.29
10733 , 243 , 38.37 , 31.38
10764 , 243 , 38.40 , 31.46
10793 , 243 , 39.50 , 31.55
10824 , 243 , 40.73 , 31.65
10854 , 243 , 41.00 , 31.76
10885 , 243 , 41.47 , 31.88
10914 , 243 , 41.47 , 32.00
10945 , 243 , 40.43 , 32.11
10975 , 243 , 40.37 , 32.22
11004 , 243 , 40.67 , 32.33
11035 , 243 , 41.60 , 32.45
11065 , 243 , 41.67 , 32.57
11096 , 243 , 41.40 , 32.69
11125 , 243 , 41.83 , 32.81
11156 , 243 , 41.70 , 32.94
11186 , 243 , 41.63 , 33.06
11216 , 243 , 41.97 , 33.18
11246 , 243 , 42.03 , 33.31
11277 , 243 , 42.87 , 33.44
11307 , 243 , 42.43 , 33.57
11336 , 243 , 42.03 , 33.69
11367 , 243 , 42.53 , 33.82
11397 , 243 , 42.37 , 33.95
11427 , 243 , 42.70 , 34.08
11457 , 243 , 42.17 , 34.20
11488 , 243 , 43.10 , 34.33
11517 , 243 , 42.53 , 34.47
11548 , 243 , 42.17 , 34.59
11578 , 243 , 41.90 , 34.72
11609 , 243 , 42.33 , 34.84
11638 , 243 , 42.27 , 34.97
11668 , 243 , 43.30 , 35.11
11699 , 243 , 42.07 , 35.23
11728 , 243 , 43.07 , 35.36
11759 , 243 , 42.37 , 35.49
11789 , 243 , 42.60 , 35.62
11820 , 243 , 42.80 , 35.75
11849 , 243 , 42.47 , 35.88
11880 , 243 , 42.67 , 36.01
11910 , 243 , 42.90 , 36.14
11940 , 243 , 43.27 , 36.28
11970 , 243 , 43.00 , 36.41
12000 , 243 , 42.63 , 36.54
12030 , 243 , 42.80 , 36.67
12060 , 243 , 42.43 , 36.80
12091 , 243 , 42.87 , 36.93
12121 , 243 , 42.47 , 37.06
12151 , 243 , 43.00 , 37.20
12181 , 243 , 43.13 , 37.33
12212 , 243 , 43.03 , 37.46
12241 , 243 , 43.27 , 37.60
12271 , 243 , 42.63 , 37.73
12302 , 243 , 43.00 , 37.86
12332 , 243 , 43.23 , 37.99
12362 , 243 , 42.57 , 38.12
12392 , 243 , 43.20 , 38.26
12423 , 243 , 43.07 , 38.39
12452 , 243 , 43.13 , 38.52
12483 , 243 , 42.80 , 38.66
12513 , 243 , 42.73 , 38.78
12544 , 243 , 42.73 , 38.91
12573 , 243 , 42.87 , 39.05
12603 , 243 , 42.47 , 39.17
12634 , 243 , 41.83 , 39.29
12663 , 243 , 42.83 , 39.42
12694 , 243 , 42.67 , 39.55
12724 , 243 , 42.77 , 39.67
12754 , 243 , 43.53 , 39.81
12784 , 243 , 42.93 , 39.94
12815 , 243 , 43.17 , 40.08
12845 , 243 , 42.13 , 40.20
12875 , 243 , 43.00 , 40.33
12905 , 243 , 43.00 , 40.46
12935 , 243 , 43.20 , 40.60
12965 , 243 , 42.90 , 40.73
12995 , 243 , 42.73 , 40.86
13026 , 243 , 42.73 , 40.98
13056 , 243 , 43.50 , 41.12
13086 , 243 , 43.10 , 41.25
13116 , 243 , 43.67 , 41.39
13147 , 243 , 43.37 , 41.50
13176 , 243 , 43.73 , 41.60
13207 , 243 , 43.77 , 41.69
13237 , 243 , 43.60 , 41.78
13266 , 243 , 43.10 , 41.85
13297 , 243 , 43.23 , 41.92
13327 , 243 , 43.43 , 41.99
13358 , 243 , 44.87 , 42.06
13387 , 243 , 46.00 , 42.14
13418 , 243 , 45.90 , 42.22
13448 , 243 , 45.67 , 42.27
13478 , 243 , 48.07 , 42.34
13508 , 243 , 48.57 , 42.42
13539 , 243 , 49.00 , 42.51
13569 , 243 , 48.07 , 42.60
13598 , 243 , 47.83 , 42.68
13629 , 243 , 48.70 , 42.78
13659 , 243 , 48.87 , 42.89
13689 , 243 , 50.10 , 43.02
13719 , 243 , 48.40 , 43.12
13750 , 243 , 48.93 , 43.23
13779 , 242 , 47.53 , 43.32
13810 , 242 , 47.80 , 43.40
13840 , 242 , 48.77 , 43.48
13870 , 242 , 49.93 , 43.57
13900 , 242 , 49.80 , 43.65
13930 , 242 , 49.73 , 43.74
13961 , 242 , 49.90 , 43.83
13990 , 242 , 49.50 , 43.92
14021 , 242 , 48.87 , 44.01
14051 , 242 , 49.27 , 44.08
14082 , 242 , 48.97 , 44.16
14111 , 242 , 48.67 , 44.23
14142 , 242 , 49.47 , 44.30
14172 , 242 , 49.93 , 44.39
14201 , 242 , 50.83 , 44.48
14232 , 242 , 50.90 , 44.57
14262 , 242 , 51.07 , 44.66
14292 , 242 , 51.43 , 44.74
14322 , 242 , 52.07 , 44.84
14353 , 242 , 50.30 , 44.92
14383 , 242 , 51.33 , 45.01
14413 , 242 , 50.60 , 45.09
14443 , 242 , 50.60 , 45.17
14474 , 242 , 50.83 , 45.26
14503 , 242 , 51.17 , 45.34
14533 , 243 , 50.90 , 45.42
14564 , 243 , 50.67 , 45.51
14594 , 243 , 50.40 , 45.59
14624 , 243 , 50.67 , 45.68
14654 , 243 , 49.90 , 45.75
14685 , 243 , 50.30 , 45.82
14714 , 244 , 50.67 , 45.91
14745 , 244 , 51.20 , 45.99
14775 , 244 , 51.50 , 46.08
14806 , 244 , 51.03 , 46.17
14835 , 244 , 51.40 , 46.25
14865 , 244 , 51.27 , 46.34
14896 , 243 , 51.57 , 46.43
14925 , 243 , 51.00 , 46.51
14956 , 243 , 51.20 , 46.59
14986 , 243 , 51.27 , 46.67
15016 , 243 , 50.90 , 46.75
15046 , 242 , 50.77 , 46.83
15077 , 242 , 51.40 , 46.92
15107 , 242 , 50.47 , 47.00
15137 , 242 , 51.17 , 47.09
15167 , 242 , 51.00 , 47.17
15197 , 241 , 50.33 , 47.24
15227 , 241 , 51.00 , 47.32
15257 , 241 , 51.40 , 47.40
15288 , 241 , 51.43 , 47.49
15318 , 241 , 51.40 , 47.57
15348 , 241 , 50.73 , 47.65
15378 , 241 , 50.83 , 47.73
15409 , 241 , 51.03 , 47.81
15438 , 241 , 51.67 , 47.89
15469 , 241 , 51.20 , 47.97
15499 , 240 , 51.00 , 48.06
15528 , 240 , 51.67 , 48.15
15559 , 240 , 50.93 , 48.23
15589 , 240 , 51.43 , 48.31
15620 , 240 , 50.83 , 48.40
15649 , 240 , 50.13 , 48.48
15680 , 240 , 50.70 , 48.56
15710 , 240 , 50.47 , 48.64
15740 , 240 , 51.37 , 48.72
15770 , 240 , 50.33 , 48.79
15801 , 240 , 51.83 , 48.88
15831 , 240 , 52.50 , 48.97
15860 , 240 , 53.10 , 49.08
15891 , 240 , 53.13 , 49.18
15921 , 240 , 52.83 , 49.28
15951 , 240 , 54.37 , 49.39
15981 , 240 , 54.53 , 49.51
16012 , 240 , 54.53 , 49.63
16041 , 240 , 54.33 , 49.74
16072 , 240 , 53.93 , 49.85
16102 , 240 , 55.27 , 49.97
16132 , 240 , 53.17 , 50.07
16162 , 240 , 54.13 , 50.17
16192 , 240 , 54.50 , 50.28
16223 , 240 , 56.03 , 50.40
16252 , 240 , 55.73 , 50.52
16283 , 240 , 54.57 , 50.64
16313 , 240 , 55.20 , 50.76
16344 , 240 , 55.90 , 50.88
16373 , 240 , 55.93 , 50.99
16404 , 240 , 56.90 , 51.10
16434 , 240 , 55.27 , 51.20
16463 , 240 , 55.23 , 51.29
16494 , 240 , 56.13 , 51.37
16524 , 240 , 54.47 , 51.43
16555 , 240 , 56.17 , 51.50
16584 , 240 , 55.07 , 51.57
16615 , 239 , 55.97 , 51.66
16645 , 239 , 55.23 , 51.72
16675 , 239 , 55.10 , 51.78
16705 , 239 , 55.77 , 51.84
16736 , 238 , 56.17 , 51.92
16765 , 237 , 55.23 , 51.98
16795 , 237 , 55.40 , 52.06
16826 , 237 , 55.50 , 52.14
16856 , 237 , 56.27 , 52.21
16886 , 238 , 55.60 , 52.27
16916 , 237 , 55.17 , 52.32
16947 , 237 , 56.53 , 52.39
16976 , 238 , 55.20 , 52.44
17007 , 238 , 55.77 , 52.50
17037 , 238 , 54.87 , 52.56
17068 , 237 , 56.23 , 52.63
17097 , 237 , 55.43 , 52.70
17127 , 238 , 55.80 , 52.77
17158 , 238 , 55.43 , 52.83
17187 , 238 , 56.13 , 52.89
17218 , 238 , 56.23 , 52.95
17248 , 237 , 56.33 , 53.00
17278 , 237 , 55.67 , 53.05
17308 , 237 , 56.77 , 53.10
17339 , 238 , 55.83 , 53.14
17369 , 238 , 55.97 , 53.19
17399 , 238 , 56.23 , 53.24
17429 , 238 , 55.47 , 53.29
17459 , 239 , 56.53 , 53.35
17489 , 239 , 56.10 , 53.40
17519 , 240 , 56.63 , 53.46
17550 , 240 , 56.30 , 53.51
17580 , 240 , 55.87 , 53.56
17610 , 240 , 55.57 , 53.62
17640 , 240 , 55.67 , 53.67
17671 , 241 , 56.53 , 53.73
17700 , 241 , 56.57 , 53.80
17731 , 242 , 56.00 , 53.85
17761 , 242 , 56.47 , 53.90
17790 , 242 , 56.30 , 53.95
17821 , 243 , 56.30 , 54.00
17851 , 242 , 55.53 , 54.04
17882 , 242 , 55.90 , 54.09
17911 , 242 , 55.07 , 54.12
17942 , 242 , 56.07 , 54.18
17972 , 242 , 56.40 , 54.23
18002 , 242 , 55.50 , 54.27
18032 , 242 , 55.57 , 54.32
18063 , 242 , 56.57 , 54.37
18093 , 242 , 54.77 , 54.41
18122 , 242 , 54.70 , 54.45
18153 , 242 , 55.43 , 54.49
18183 , 242 , 56.40 , 54.55
18213 , 242 , 56.13 , 54.61
18243 , 242 , 56.67 , 54.66
18274 , 242 , 56.43 , 54.71
18304 , 242 , 55.50 , 54.75
18334 , 242 , 57.43 , 54.81
18364 , 242 , 57.23 , 54.88
18394 , 242 , 56.60 , 54.94
18424 , 242 , 57.37 , 55.00
18454 , 242 , 58.07 , 55.06
18485 , 241 , 58.47 , 55.14
18514 , 241 , 56.93 , 55.20
18545 , 241 , 57.83 , 55.26
18575 , 241 , 58.20 , 55.33
18606 , 241 , 58.37 , 55.40
18635 , 241 , 56.47 , 55.46
18666 , 241 , 57.70 , 55.53
18696 , 241 , 58.17 , 55.61
18725 , 241 , 57.50 , 55.68
18756 , 241 , 56.73 , 55.73
18786 , 241 , 57.87 , 55.80
18817 , 240 , 57.10 , 55.86
18846 , 240 , 57.03 , 55.90
18877 , 241 , 56.93 , 55.94
18907 , 241 , 58.27 , 55.99
18937 , 241 , 57.27 , 56.04
18967 , 241 , 59.73 , 56.09
18998 , 241 , 57.23 , 56.12
19027 , 241 , 57.83 , 56.15
19057 , 241 , 58.00 , 56.19
19088 , 241 , 57.60 , 56.22
19118 , 241 , 57.73 , 56.25
19148 , 241 , 58.17 , 56.30
19178 , 241 , 58.23 , 56.34
19209 , 241 , 57.83 , 56.37
19238 , 241 , 56.60 , 56.38
19269 , 241 , 57.50 , 56.40
19299 , 241 , 57.00 , 56.42
19330 , 241 , 58.33 , 56.45
19359 , 241 , 56.23 , 56.46
19389 , 241 , 56.20 , 56.46
19420 , 241 , 56.30 , 56.45
19449 , 241 , 58.13 , 56.48
19480 , 241 , 58.37 , 56.51
19510 , 241 , 57.30 , 56.52
19540 , 241 , 58.17 , 56.56
19570 , 241 , 58.63 , 56.59
19601 , 241 , 58.67 , 56.62
19631 , 241 , 56.63 , 56.63
19661 , 241 , 57.70 , 56.65
19691 , 241 , 57.37 , 56.68
19721 , 241 , 58.40 , 56.70
19751 , 241 , 57.23 , 56.71
19781 , 241 , 57.47 , 56.73
19812 , 241 , 57.40 , 56.75
19842 , 241 , 57.77 , 56.78
19872 , 241 , 57.53 , 56.79
19902 , 241 , 57.90 , 56.81
19933 , 241 , 58.77 , 56.85
19962 , 241 , 57.17 , 56.86
19993 , 241 , 57.40 , 56.88
20023 , 241 , 57.67 , 56.90
20052 , 241 , 57.73 , 56.92
20083 , 241 , 57.43 , 56.94
20113 , 241 , 56.70 , 56.95
20144 , 241 , 58.57 , 56.98
20173 , 241 , 57.80 , 57.00
20204 , 242 , 57.90 , 57.02
20234 , 242 , 57.30 , 57.03
20264 , 242 , 56.63 , 57.03
20294 , 242 , 58.43 , 57.06
20324 , 242 , 58.83 , 57.08
20355 , 242 , 58.10 , 57.10
20384 , 242 , 57.47 , 57.12
20415 , 242 , 57.30 , 57.13
20445 , 242 , 57.93 , 57.15
20475 , 242 , 57.33 , 57.16
20505 , 242 , 57.97 , 57.18
20536 , 242 , 57.90 , 57.19
20566 , 242 , 57.97 , 57.21
20596 , 242 , 58.87 , 57.24
20626 , 242 , 57.30 , 57.26
20656 , 242 , 57.30 , 57.27
20686 , 242 , 57.20 , 57.28
20716 , 242 , 59.07 , 57.30
20747 , 242 , 58.00 , 57.32
20776 , 243 , 57.30 , 57.33
20807 , 243 , 58.23 , 57.35
20837 , 243 , 57.57 , 57.37
20868 , 243 , 57.17 , 57.38
20897 , 243 , 57.37 , 57.40
20928 , 242 , 58.10 , 57.43
20958 , 242 , 58.70 , 57.45
20987 , 241 , 59.47 , 57.48
21018 , 241 , 59.77 , 57.53
21048 , 241 , 57.77 , 57.55
21079 , 242 , 59.13 , 57.57
21108 , 242 , 58.73 , 57.61
21139 , 242 , 59.13 , 57.66
21169 , 241 , 57.97 , 57.68
21199 , 241 , 58.03 , 57.70
21229 , 241 , 56.57 , 57.70
21260 , 241 , 57.53 , 57.71
21289 , 241 , 58.43 , 57.73
21319 , 241 , 58.53 , 57.76
21350 , 241 , 58.33 , 57.77
21380 , 241 , 57.60 , 57.78
21410 , 241 , 58.97 , 57.80
21440 , 241 , 58.43 , 57.81
21471 , 240 , 59.20 , 57.82
21500 , 240 , 60.47 , 57.84
21531 , 240 , 59.00 , 57.86
21561 , 240 , 59.23 , 57.88
21592 , 240 , 58.53 , 57.88
21621 , 240 , 60.43 , 57.90
21651 , 240 , 59.97 , 57.93
21682 , 240 , 58.57 , 57.94
21711 , 240 , 59.13 , 57.95
21742 , 240 , 59.63 , 57.97
21772 , 239 , 59.43 , 58.00
21803 , 239 , 58.77 , 58.01
21832 , 239 , 58.93 , 58.03
21863 , 239 , 59.37 , 58.05
21893 , 239 , 57.37 , 58.06
21923 , 239 , 57.50 , 58.05
21953 , 238 , 57.80 , 58.05
21983 , 238 , 60.10 , 58.06
22013 , 237 , 59.23 , 58.08
22043 , 237 , 59.77 , 58.10
22074 , 237 , 58.63 , 58.10
22104 , 237 , 60.17 , 58.13
22134 , 237 , 60.10 , 58.15
22164 , 237 , 58.83 , 58.16
22195 , 237 , 58.60 , 58.16
22224 , 237 , 59.43 , 58.18
22254 , 237 , 57.80 , 58.19
22285 , 237 , 59.03 , 58.21
22315 , 237 , 59.00 , 58.23
22345 , 237 , 59.60 , 58.24
22375 , 237 , 59.17 , 58.27
22406 , 237 , 58.63 , 58.29
22435 , 237 , 57.43 , 58.30
22466 , 237 , 57.53 , 58.30
22496 , 237 , 57.50 , 58.29
22526 , 237 , 59.03 , 58.31
22556 , 237 , 57.37 , 58.30
22586 , 237 , 57.17 , 58.28
22617 , 237 , 56.93 , 58.27
22646 , 237 , 57.77 , 58.28
