pres	temp	vfr	mfr	comp
31.12	25.43	0.0217	0.0459	Air
31.11	25.43	0.0217	0.0459	Air
31.12	25.43	0.0217	0.0459	Air
31.11	25.43	0.0218	0.046	Air
31.12	25.43	0.0218	0.0461	Air
31.11	25.43	0.0218	0.0461	Air
31.11	25.43	0.0218	0.0462	Air
31.11	25.43	0.0218	0.0461	Air
31.11	25.43	0.0218	0.0462	Air
31.11	25.43	0.0219	0.0462	Air
31.11	25.43	0.0219	0.0462	Air
31.11	25.43	0.0219	0.0462	Air
31.11	25.43	0.0219	0.0463	Air
31.11	25.43	0.022	0.0464	Air
31.11	25.43	0.022	0.0464	Air
31.11	25.43	0.022	0.0464	Air
31.11	25.43	0.022	0.0464	Air
31.11	25.43	0.022	0.0465	Air
31.11	25.43	0.0221	0.0466	Air
31.11	25.43	0.0221	0.0467	Air
31.11	25.43	0.0221	0.0467	Air
31.11	25.43	0.0221	0.0467	Air
31.11	25.43	0.0221	0.0467	Air
31.11	25.43	0.0223	0.0472	Air
31.11	25.43	0.0227	0.0479	Air
31.11	25.43	0.0229	0.0484	Air
31.11	25.43	0.023	0.0487	Air
31.11	25.43	0.0232	0.0489	Air
31.11	25.43	0.0232	0.049	Air
31.11	25.43	0.0232	0.0491	Air
31.11	25.43	0.0232	0.0491	Air
31.1	25.43	0.0233	0.0492	Air
31.1	25.43	0.0233	0.0492	Air
31.1	25.43	0.0233	0.0493	Air
31.1	25.43	0.0233	0.0492	Air
31.1	25.43	0.0233	0.0493	Air
31.1	25.43	0.0233	0.0493	Air
31.1	25.43	0.0233	0.0493	Air
31.1	25.43	0.0235	0.0497	Air
31.1	25.43	0.0237	0.0502	Air
31.1	25.43	0.024	0.0507	Air
31.1	25.43	0.0242	0.0511	Air
31.1	25.43	0.0243	0.0512	Air
31.09	25.44	0.0243	0.0513	Air
31.09	25.43	0.0243	0.0513	Air
31.09	25.43	0.0243	0.0514	Air
31.09	25.43	0.0243	0.0514	Air
31.09	25.43	0.0243	0.0514	Air
31.09	25.43	0.0243	0.0514	Air
31.09	25.43	0.0243	0.0514	Air
31.09	25.43	0.0243	0.0514	Air
31.09	25.43	0.0243	0.0514	Air
31.09	25.44	0.0243	0.0514	Air
31.09	25.44	0.0243	0.0514	Air
31.09	25.44	0.0243	0.0514	Air
31.09	25.44	0.0243	0.0514	Air
31.09	25.44	0.0243	0.0514	Air
31.09	25.44	0.0243	0.0514	Air
31.09	25.44	0.0243	0.0514	Air
31.09	25.44	0.0243	0.0514	Air
31.09	25.44	0.0244	0.0515	Air
