"time_ms , temp_0 , temp_1 , temp_0-1 , diff_p , abs_p , sfm3300"
4465.38,829,781,48,42,253,0.0
4478.16,828,780,48,42,251,0.0
4491.26,831,784,47,42,253,0.0
4503.61,830,780,50,41,253,0.0
4516.26,832,783,49,42,253,0.0
4529.04,830,783,47,43,254,0.0
4541.68,829,780,49,41,253,0.0
4555.19,832,784,48,42,254,0.0
4567.6,829,781,48,42,253,0.0
4580.06,830,781,49,42,254,0.0
4593.3,832,785,47,42,254,0.0
4605.77,838,782,56,42,252,0.0
4618.33,830,781,49,42,253,0.0
4631.83,834,785,49,41,254,0.0
4644.22,830,782,48,42,253,0.0
4656.86,833,784,49,42,253,0.0
4669.62,831,785,46,43,253,0.0
4681.88,830,781,49,42,253,0.0
4695.24,833,785,48,43,254,0.0
4707.66,830,781,49,41,254,0.0
4720.1,831,781,50,41,252,0.0
4733.08,832,784,48,43,254,0.0
4745.52,830,782,48,42,253,0.0
4758.11,829,781,48,42,253,0.0
4771.71,833,785,48,41,254,0.0
4784.13,829,782,47,43,253,0.0
4796.89,834,784,50,42,254,0.0
4809.39,834,784,50,42,254,0.0
4821.62,830,783,47,42,253,0.0
4834.71,830,782,48,42,254,0.0
4847.2,830,781,49,42,253,0.0
4859.57,828,781,47,42,253,0.0
4873.18,833,782,51,41,254,0.0
4885.63,829,780,49,42,253,0.0
4898.38,828,781,47,42,251,0.0
4911.58,834,777,57,42,254,0.0
4924.09,829,781,48,42,253,0.0
4936.72,829,778,51,42,252,0.0
4949.82,832,783,49,41,254,0.0
4962.38,831,779,52,41,253,0.0
4975.59,833,782,51,42,254,0.0
4988.18,830,780,50,42,253,0.0
5000.82,832,780,52,41,253,0.0
5014.1,832,784,48,43,254,0.0
5026.7,828,781,47,43,252,0.0
5039.4,829,779,50,42,252,0.0
5052.83,831,782,49,42,254,0.0
5065.32,829,780,49,42,252,0.0
5078.52,832,784,48,42,254,0.0
5091.39,832,784,48,42,252,0.0
5104.0,829,781,48,41,253,0.0
5117.84,831,783,48,41,254,0.0
5130.47,829,781,48,42,253,0.0
5143.07,829,778,51,42,252,0.0
5156.52,830,785,45,42,253,0.0
5169.06,828,781,47,41,253,0.0
5181.68,833,779,54,41,254,0.0
5194.45,831,783,48,42,254,0.0
5206.8,829,779,50,42,253,0.0
5220.03,831,782,49,42,254,0.0
5232.55,828,780,48,43,253,0.0
5245.04,828,780,48,42,252,0.0
5258.5,834,783,51,42,254,0.0
5270.98,823,781,42,41,252,0.0
5283.53,827,779,48,42,252,0.0
5297.15,830,780,50,42,254,0.0
5309.79,830,779,51,42,253,0.0
5322.89,831,783,48,42,254,0.0
5335.54,831,784,47,42,254,0.0
5347.93,829,781,48,42,252,0.0
5360.82,834,780,54,41,254,0.0
5373.32,828,782,46,42,253,0.0
